country,bales_of_barley
South Africa,94134494
Nigeria,39356800
Cameroon,14004924
Kenya,12193070
Democratic Republic of the Congo,10304874
Ethiopia PDR,9662949
Angola,8676870
C̫te d'Ivoire,8108969
United Republic of Tanzania,6349706
Ethiopia,5008729
Burundi,4330937
Morocco,4187304
Zimbabwe,3971588
Algeria,3920076
Uganda,3799064
Egypt,3708890
Ghana,3601673
Zambia,3485400
Gabon,3253050
Congo,3018680
Tunisia,2650266
Namibia,2622800
Mozambique,2415803
Rwanda,2405717
Burkina Faso,2199482
Madagascar,1962766
Benin,1659820
Togo,1435150
Botswana,1288610
Mauritius,1166489
Senegal,1052289
Central African Republic,937038
Swaziland,811027
Chad,683863
Malawi,661241
Lesotho,610263
Liberia,458152
Guinea,415992
R̩union,377579
Sierra Leone,306146
Eritrea,220932
Niger,153186
Mali,133600
Seychelles,112077
Cabo Verde,92571
Gambia,45336
Sudan (former),36300
Guinea-Bissau,13500
Libya,-161262
Comoros,-529947
Djibouti,-529947
Equatorial Guinea,-529947
Mauritania,-529947
Sao Tome and Principe,-529947
Somalia,-529947
